구분,제조/수입사,차종,국고보조금액(만원)
승용,현대,"코나(기본형, PTC, 모던)",800
승용,현대,"코나(기본형, PTC, 프리미엄)",800
승용,현대,"코나(기본형, HP, 모던)",800
승용,현대,"코나(기본형, HP, 프리미엄)",800
승용,현대,"코나(경제형, PTC, 모던)",690
승용,현대,"코나(경제형, PTC, 프리미엄)",690
승용,현대,"코나(경제형, HP, 모던)",690
승용,현대,"코나(경제형, HP, 프리미엄)",690
승용,현대,아이오닉(HP),733
승용,현대,아이오닉(PTC),701
승용,현대,"아이오닉5(롱레인지 2WD, 프레스티지)",800
승용,현대,"아이오닉5(롱레인지 2WD, 익스클루시브, 빌트인 캠 미적용)",800
승용,현대,"아이오닉5(롱레인지 2WD, 익스클루시브)",800
승용,현대,"아이오닉5(롱레인지 AWD, 프레스티지)",773
승용,현대,"아이오닉5(롱레인지 AWD, 익스클루시브)",785
승용,기아,"니로EV(HP, 프레스티지)",800
승용,기아,"니로EV(HP, 노블레스)",800
승용,기아,"니로EV(PTC, 프레스티지)",780
승용,기아,"니로EV(PTC, 노블레스)",780
승용,기아,"니로EV(경제형, 프레스티지)",717
승용,기아,"니로EV(경제형, 노블레스)",717
승용,기아,"쏘울(기본형, 프레스티지)",750
승용,기아,"쏘울(기본형, 노블레스)",750
승용,기아,"쏘울(도심형, 프레스티지)",688
승용,기아,"쏘울(도심형, 노블레스)",688
승용,르노삼성,ZOE ZEN,702
승용,르노삼성,ZOE INTENS ECO,702
승용,르노삼성,ZOE ITENS,702
승용,BMW,i3 120Ah Lux,673
승용,BMW,i3 120Ah SoL+,673
승용,한국GM,BOLT EV LT,760
승용,한국GM,BOLT EV Primier,760
승용,한불모터스,Peugeot e-208 Allure,649
승용,한불모터스,Peugeot e-208 GT Line,649
승용,한불모터스,DS3 E-tense So Chic,605
승용,한불모터스,DS3 E-tense Grand Chic,605
승용,한불모터스,Peugeot e-2008 SUV Allure,605
승용,한불모터스,Peugeot e-2008 SUV GT Line,605
승용,테슬라,Model S(Long Range),-
승용,테슬라,Model S(Performance),-
승용,테슬라,Model 3(SRP RWD),684
승용,테슬라,Model 3(Long Range),682
